71,T-Shirt,20,50.00,Red,Nike,,,,,,
72,Jeans,15,150.00,Blue,Levis,,,,,,
73,Jacket,10,300.00,Black,Adidas,,,,,,
721,CD-Hits,30,40.00,,,WarnerBros,2021-01-20, Artist1,Greatest Hits,,
722,CD-Jazz,25,45.00,,,Columbia,2021-01-20,Artist2,Album2,,
723,Vinyl-Rock,22,50.00,,,DefJam,2019-04-14,Artist9,Album3,,
724,Vinyl-Classical,180,55.00,,,Deutsche,2017-02-10,Artist10,Album4,,
743,Vintage-Hip Hop,70,25.00,,,Virgin,1995-01-15,Artist13,Album7,1,3
744,Vintage-Disco,50,22.00,,,RCA,1980-05-20,Artist14,Album5,0,2
753,Vintage-Rock,40,75.00,,,Capitol,1967-08-14,Artist15,Album6,1,5
